timestamp,voltage,current,temperature,power
2026-01-18T14:15:00,26.96,8.62,40.7,232.49
2026-01-18T14:20:00,27.0,8.36,39.7,225.77
2026-01-18T14:25:00,27.78,8.45,42.8,234.72
2026-01-18T14:30:00,27.5,8.43,40.5,231.9
2026-01-18T14:35:00,27.96,8.87,41.8,247.85
2026-01-18T14:40:00,27.66,8.85,40.2,244.7
2026-01-18T14:45:00,27.46,8.52,43.2,234.09
2026-01-18T14:50:00,27.22,8.43,40.0,229.55
2026-01-18T14:55:00,27.87,8.66,41.2,241.25
2026-01-18T15:00:00,26.38,7.08,38.8,186.79
2026-01-18T15:05:00,26.49,7.1,37.6,188.08
2026-01-18T15:10:00,27.21,7.28,35.8,198.1
2026-01-18T15:15:00,26.65,7.14,38.0,190.39
2026-01-18T15:20:00,27.18,6.98,39.6,189.61
2026-01-18T15:25:00,26.4,6.86,36.2,181.22
2026-01-18T15:30:00,26.87,7.23,37.2,194.19
2026-01-18T15:35:00,26.36,7.24,36.2,190.81
2026-01-18T15:40:00,27.32,6.81,36.0,185.97
2026-01-18T15:45:00,26.57,6.98,36.3,185.45
2026-01-18T15:50:00,26.87,6.96,39.6,187.14
2026-01-18T15:55:00,26.66,7.29,35.9,194.27
2026-01-18T16:00:00,25.55,5.01,31.1,127.9
2026-01-18T16:05:00,25.78,4.99,33.5,128.53
2026-01-18T16:10:00,25.87,4.89,32.0,126.49
2026-01-18T16:15:00,25.86,4.97,33.8,128.59
2026-01-18T16:20:00,25.52,5.07,34.5,129.35
2026-01-18T16:25:00,25.8,4.86,34.3,125.47
2026-01-18T16:30:00,26.36,4.86,31.7,128.06
2026-01-18T16:35:00,25.84,5.05,31.2,130.44
2026-01-18T16:40:00,26.39,4.9,34.2,129.22
2026-01-18T16:45:00,26.04,4.75,31.7,123.73
2026-01-18T16:50:00,25.58,5.21,34.3,133.34
2026-01-18T16:55:00,25.85,5.23,34.2,135.09
2026-01-18T17:00:00,24.66,2.53,25.1,62.38
2026-01-18T17:05:00,25.46,2.77,28.4,70.53
2026-01-18T17:10:00,24.72,2.84,27.1,70.17
2026-01-18T17:15:00,25.25,2.72,26.0,68.68
2026-01-18T17:20:00,24.64,2.39,27.8,58.82
2026-01-18T17:25:00,25.23,2.58,27.2,65.04
2026-01-18T17:30:00,24.61,2.59,24.6,63.84
2026-01-18T17:35:00,25.3,2.75,25.7,69.65
2026-01-18T17:40:00,24.83,2.74,24.7,67.93
2026-01-18T17:45:00,25.45,2.55,25.4,64.98
2026-01-18T17:50:00,24.62,2.43,25.6,59.78
2026-01-18T17:55:00,25.4,2.76,26.0,70.18
2026-01-18T18:00:00,23.7,0,18.4,0.0
2026-01-18T18:05:00,23.55,0,20.8,0.0
2026-01-18T18:10:00,24.25,0,18.2,0.0
2026-01-18T18:15:00,24.33,0.19,21.6,4.73
2026-01-18T18:20:00,24.17,0.22,19.1,5.26
2026-01-18T18:25:00,23.86,0.25,19.7,6.05
2026-01-18T18:30:00,24.49,0,21.8,0.0
2026-01-18T18:35:00,23.83,0.1,19.5,2.29
2026-01-18T18:40:00,23.59,0.02,21.4,0.46
2026-01-18T18:45:00,24.27,0,21.3,0.0
2026-01-18T18:50:00,24.46,0.28,20.3,6.9
2026-01-18T18:55:00,23.73,0,21.1,0.0
2026-01-18T19:00:00,24.15,0,18.4,0.0
2026-01-18T19:05:00,24.13,0,20.1,0.0
2026-01-18T19:10:00,23.88,0.16,21.1,3.73
2026-01-18T19:15:00,24.05,0,21.5,0.0
2026-01-18T19:20:00,23.56,0.08,21.5,1.8
2026-01-18T19:25:00,23.78,0.25,18.9,5.85
2026-01-18T19:30:00,24.15,0.23,18.2,5.6
2026-01-18T19:35:00,24.4,0,18.8,0.0
2026-01-18T19:40:00,24.34,0,21.9,0.0
2026-01-18T19:45:00,23.87,0,19.8,0.0
2026-01-18T19:50:00,23.64,0,20.8,0.0
2026-01-18T19:55:00,24.03,0.13,21.0,3.14
2026-01-18T20:00:00,24.19,0,21.1,0.0
2026-01-18T20:05:00,23.78,0.04,20.7,0.96
2026-01-18T20:10:00,24.02,0,21.8,0.0
2026-01-18T20:15:00,23.64,0.21,21.9,4.95
2026-01-18T20:20:00,24.19,0,20.2,0.0
2026-01-18T20:25:00,23.95,0,21.7,0.0
2026-01-18T20:30:00,23.8,0,19.5,0.0
2026-01-18T20:35:00,24.2,0,20.9,0.0
2026-01-18T20:40:00,23.96,0,20.1,0.0
2026-01-18T20:45:00,23.65,0.0,20.1,0.05
2026-01-18T20:50:00,23.53,0.25,19.6,5.96
2026-01-18T20:55:00,23.81,0.17,19.3,4.05
2026-01-18T21:00:00,24.19,0.28,20.8,6.66
2026-01-18T21:05:00,24.36,0.12,19.9,3.02
2026-01-18T21:10:00,24.04,0,20.5,0.0
2026-01-18T21:15:00,24.09,0,20.6,0.0
2026-01-18T21:20:00,24.06,0.13,19.4,3.16
2026-01-18T21:25:00,23.74,0.21,19.6,4.97
2026-01-18T21:30:00,23.94,0.0,21.9,0.07
2026-01-18T21:35:00,24.0,0,20.6,0.0
2026-01-18T21:40:00,23.74,0.15,19.7,3.64
2026-01-18T21:45:00,24.39,0.02,18.2,0.46
2026-01-18T21:50:00,24.2,0.09,21.6,2.21
2026-01-18T21:55:00,23.83,0.24,21.0,5.72
2026-01-18T22:00:00,23.65,0.24,19.7,5.64
2026-01-18T22:05:00,23.75,0.14,20.3,3.33
2026-01-18T22:10:00,24.32,0.27,18.9,6.58
2026-01-18T22:15:00,24.37,0.13,19.8,3.21
2026-01-18T22:20:00,12.43,0,20.7,0.0
2026-01-18T22:25:00,24.47,0,18.5,0.0
2026-01-18T22:30:00,24.5,0,19.9,0.0
2026-01-18T22:35:00,23.7,0.16,19.7,3.75
2026-01-18T22:40:00,24.3,0.08,21.0,1.9
2026-01-18T22:45:00,24.33,0.06,20.0,1.54
2026-01-18T22:50:00,24.42,0,19.9,0.0
2026-01-18T22:55:00,24.44,0.27,18.1,6.57
2026-01-18T23:00:00,24.16,0.14,18.9,3.31
2026-01-18T23:05:00,23.79,0.01,18.2,0.26
2026-01-18T23:10:00,24.15,0.28,18.2,6.72
2026-01-18T23:15:00,23.79,0.1,18.2,2.35
2026-01-18T23:20:00,23.87,0.27,21.6,6.48
2026-01-18T23:25:00,23.53,0,18.6,0.0
2026-01-18T23:30:00,24.34,0.14,20.1,3.45
2026-01-18T23:35:00,24.04,0.16,19.5,3.95
2026-01-18T23:40:00,24.18,0,18.2,0.0
2026-01-18T23:45:00,23.6,0,19.9,0.0
2026-01-18T23:50:00,24.35,0,21.7,0.0
2026-01-18T23:55:00,23.75,0.17,18.6,3.99
2026-01-19T00:00:00,24.41,0,20.7,0.0
2026-01-19T00:05:00,24.47,0,18.6,0.0
2026-01-19T00:10:00,23.81,0,20.3,0.0
2026-01-19T00:15:00,23.94,0,18.2,0.0
2026-01-19T00:20:00,23.51,0,19.1,0.0
2026-01-19T00:25:00,24.32,0.15,19.6,3.62
2026-01-19T00:30:00,24.3,0.29,18.9,7.04
2026-01-19T00:35:00,23.78,0.24,18.2,5.62
2026-01-19T00:40:00,23.59,0.24,19.8,5.6
2026-01-19T00:45:00,23.76,0.09,19.5,2.07
2026-01-19T00:50:00,23.83,0.28,21.2,6.78
2026-01-19T00:55:00,24.44,0.08,21.1,1.93
2026-01-19T01:00:00,24.04,0,20.5,0.0
2026-01-19T01:05:00,23.8,0,19.7,0.0
2026-01-19T01:10:00,23.52,0,18.1,0.0
2026-01-19T01:15:00,23.82,0,19.1,0.0
2026-01-19T01:20:00,23.95,0,19.3,0.0
2026-01-19T01:25:00,24.39,0.01,18.9,0.26
2026-01-19T01:30:00,24.26,0.18,21.3,4.39
2026-01-19T01:35:00,23.63,0.21,20.0,4.98
2026-01-19T01:40:00,24.46,0.05,19.2,1.17
2026-01-19T01:45:00,23.53,0,21.7,0.0
2026-01-19T01:50:00,23.91,0,21.6,0.0
2026-01-19T01:55:00,24.1,0.14,21.3,3.45
2026-01-19T02:00:00,23.51,0.04,20.8,1.05
2026-01-19T02:05:00,24.11,0,18.6,0.0
2026-01-19T02:10:00,23.56,0,20.5,0.0
2026-01-19T02:15:00,24.48,0,21.0,0.0
2026-01-19T02:20:00,24.49,0,18.7,0.0
2026-01-19T02:25:00,24.24,0,21.1,0.0
2026-01-19T02:30:00,23.99,0,19.8,0.0
2026-01-19T02:35:00,24.41,0.08,21.7,1.93
2026-01-19T02:40:00,23.96,0,20.5,0.0
2026-01-19T02:45:00,23.58,0.28,20.6,6.49
2026-01-19T02:50:00,23.96,0,20.1,0.0
2026-01-19T02:55:00,24.02,0,21.4,0.0
2026-01-19T03:00:00,23.68,0,-42.2,0.0
2026-01-19T03:05:00,24.2,0,19.0,0.0
2026-01-19T03:10:00,24.45,0,20.0,0.0
2026-01-19T03:15:00,24.23,0.16,20.2,3.86
2026-01-19T03:20:00,24.03,0,19.2,0.0
2026-01-19T03:25:00,24.44,0,20.1,0.0
2026-01-19T03:30:00,23.59,0.11,19.2,2.66
2026-01-19T03:35:00,24.27,0.05,21.1,1.11
2026-01-19T03:40:00,24.42,0.06,19.2,1.44
2026-01-19T03:45:00,23.98,0,21.1,0.0
2026-01-19T03:50:00,24.26,0.26,21.1,6.21
2026-01-19T03:55:00,24.05,0.04,19.3,0.91
2026-01-19T04:00:00,23.51,0,19.1,0.0
2026-01-19T04:05:00,23.75,0.24,19.3,5.78
2026-01-19T04:10:00,23.86,0,18.3,0.0
2026-01-19T04:15:00,24.01,0,20.7,0.0
2026-01-19T04:20:00,23.84,0.22,21.8,5.26
2026-01-19T04:25:00,23.72,0,19.7,0.0
2026-01-19T04:30:00,23.66,0,20.0,0.0
2026-01-19T04:35:00,24.08,0.11,19.4,2.72
2026-01-19T04:40:00,23.74,0,18.4,0.0
2026-01-19T04:45:00,23.88,0,18.8,0.0
2026-01-19T04:50:00,23.63,0,19.4,0.0
2026-01-19T04:55:00,24.46,0,21.4,0.0
2026-01-19T05:00:00,23.83,0,20.5,0.0
2026-01-19T05:05:00,23.95,0.12,22.0,2.98
2026-01-19T05:10:00,24.49,0,19.3,0.0
2026-01-19T05:15:00,23.84,0.29,19.4,6.87
2026-01-19T05:20:00,23.69,0.04,20.2,1.02
2026-01-19T05:25:00,23.85,0.02,19.9,0.58
2026-01-19T05:30:00,23.86,0,21.0,0.0
2026-01-19T05:35:00,23.61,0.29,19.1,6.76
2026-01-19T05:40:00,23.92,0.12,21.6,2.76
2026-01-19T05:45:00,14.37,0,18.6,0.0
2026-01-19T05:50:00,24.14,0,19.2,0.0
2026-01-19T05:55:00,24.48,0.1,19.2,2.44
